traceZipf0.27-7200_trc10.logPrecision = 8,,,,,,,,,,,
,,CacheSize: 0.2,,CacheSize: 0.4,,CacheSize: 0.6,,CacheSize: 0.8,,CacheSize: 1.0,
,InsertionProb,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss
,0.001,0.113104,0.39277,0.069156,0.25472,0.040008,0.14951,0.016511,0.065139,0.00E+00,0.00E+00
,0.005,0.093633,0.364158,0.061235,0.240588,0.036305,0.14451,0.015932,0.064006,0.00E+00,0.00E+00
,0.01,0.090669,0.355817,0.05895,0.233731,0.035093,0.140176,0.015787,0.063563,0.00E+00,0.00E+00
,0.02,0.088079,0.349422,0.056406,0.225058,0.033662,0.134385,0.015244,0.061321,0.00E+00,0.00E+00
,0.05,0.088576,0.353585,0.055792,0.222962,0.032906,0.131622,0.014845,0.059578,0.00E+00,0.00E+00
,0.1,0.090482,0.361931,0.056724,0.227052,0.033285,0.133172,0.014736,0.059152,0.00E+00,0.00E+00
,0.2,0.093754,0.373677,0.057854,0.231927,0.03408,0.136433,0.015062,0.060424,0.00E+00,0.00E+00
,0.3,0.096937,0.382364,0.059265,0.237818,0.034526,0.138372,0.01527,0.061351,0.00E+00,0.00E+00
,0.4,0.100426,0.388748,0.060234,0.241521,0.035076,0.140828,0.015468,0.062045,0.00E+00,0.00E+00
,0.5,0.104556,0.394342,0.061032,0.244401,0.035414,0.142047,0.015584,0.062571,0.00E+00,0.00E+00
,0.6,0.108758,0.398106,0.061842,0.24727,0.035728,0.14329,0.01573,0.063158,0.00E+00,0.00E+00
,0.7,0.11344,0.401839,0.062505,0.249312,0.036012,0.144484,0.015788,0.06331,0.00E+00,0.00E+00
,0.8,0.118747,0.405773,0.063212,0.25123,0.036308,0.145779,0.015928,0.063891,0.00E+00,0.00E+00
,0.9,0.123914,0.408319,0.064027,0.253432,0.036535,0.146623,0.016035,0.064337,0.00E+00,0.00E+00
,0.95,0.126599,0.410212,0.064382,0.254068,0.036672,0.14716,0.016061,0.064432,0.00E+00,0.00E+00
,0.99,0.128695,0.411073,0.064688,0.254686,0.036757,0.147531,0.016095,0.064569,0.00E+00,0.00E+00
,0.991,0.12877,0.411158,0.064693,0.254715,0.036769,0.147596,0.016093,0.064573,0.00E+00,0.00E+00
,0.995,0.128967,0.411275,0.064718,0.254723,0.036781,0.147683,0.016085,0.064539,0.00E+00,0.00E+00
,0.9999,0.129267,0.411405,0.064768,0.254839,0.036789,0.14772,0.016089,0.064558,0.00E+00,0.00E+00
,1,0.129278,0.411448,0.064763,0.254817,0.036788,0.147715,0.016087,0.064551,0.00E+00,0.00E+00
,offline,0.0762119173,0.30490375,0.0464043729,0.18511896,0.0264923114,0.105551176,0.0112236905,0.044557944,0,0
