traceZipf0.27-7200_trc2.logPrecision = 8,,,,,,,,,,,,,
,,CacheSize: 0.2,,CacheSize: 0.4,,CacheSize: 0.6,,CacheSize: 0.8,,CacheSize: 1.0,,,
,InsertionProb,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,,Cost Miss
,0.001,0.115744,0.391054,0.073524,0.252189,0.038251,0.143114,0.016599,0.061784,0.00E+00,0.00E+00,Cost Miss,0.00E+00
,0.005,0.096666,0.364424,0.062281,0.238929,0.035712,0.138706,0.015395,0.060759,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.01,0.090518,0.350318,0.059235,0.230459,0.034957,0.136818,0.015231,0.060028,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.02,0.087649,0.342932,0.056577,0.22209,0.033361,0.131054,0.014978,0.05902,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.05,0.087761,0.346508,0.054961,0.216901,0.032699,0.128798,0.014574,0.057493,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.1,0.089584,0.354976,0.055799,0.220719,0.032628,0.128793,0.014447,0.057043,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.2,0.092815,0.367143,0.057232,0.226809,0.033299,0.131804,0.014616,0.057865,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.3,0.095728,0.376395,0.058512,0.231739,0.0339,0.134344,0.014765,0.05858,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.4,0.098568,0.382592,0.059615,0.236067,0.034405,0.136454,0.014937,0.059265,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.5,0.101489,0.386651,0.060608,0.240145,0.034845,0.138036,0.015116,0.060046,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.6,0.105114,0.391108,0.061243,0.242582,0.035258,0.139724,0.015234,0.060481,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.7,0.109618,0.395164,0.062024,0.245421,0.035591,0.141084,0.015402,0.061134,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.8,0.114123,0.398269,0.062651,0.247418,0.035996,0.142718,0.015565,0.061821,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.9,0.119015,0.401549,0.063132,0.248727,0.03621,0.143575,0.015588,0.061873,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.95,0.12157,0.403122,0.063518,0.249901,0.036324,0.143999,0.015659,0.062128,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.99,0.12363,0.404171,0.063753,0.250442,0.036433,0.144497,0.015725,0.062414,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.991,0.123668,0.404208,0.063802,0.250604,0.03641,0.144427,0.015713,0.062374,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.995,0.123898,0.404359,0.063811,0.250631,0.036427,0.144495,0.015734,0.062448,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.9999,0.124136,0.404485,0.063827,0.250632,0.03645,0.144577,0.015732,0.062448,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,1,0.124148,0.4045,0.063827,0.250629,0.036448,0.144572,0.015735,0.062462,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,offline,0.0758194595,0.2999639,0.0460062162,0.18153583,0.0261991892,0.10300376,0.01109,0.043342292,0,0,0.00E+00,0
