traceZipf0.27-hint.datPrecision = 8,,,,,,,,,,,
,,CacheSize: 0.2,,CacheSize: 0.4,,CacheSize: 0.6,,CacheSize: 0.8,,CacheSize: 1.0,
,InsertionProb,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss
,0.001,0.196328,0.382667,0.093573,0.20988,0.033534,0.101286,0.007763,0.032674,0.00E+00,0.00E+00
,0.005,0.121493,0.360776,0.06549,0.20137,0.029019,0.100294,0.007623,0.032826,0.00E+00,0.00E+00
,0.01,0.104781,0.352048,0.053854,0.198828,0.025344,0.100054,0.008132,0.032721,0.00E+00,0.00E+00
,0.02,0.091615,0.344634,0.049634,0.195162,0.024057,0.099307,0.007581,0.032521,0.00E+00,0.00E+00
,0.05,0.082027,0.330987,0.047028,0.192522,0.022926,0.097783,0.007254,0.032335,0.00E+00,0.00E+00
,0.1,0.07827,0.323657,0.044305,0.185511,0.022585,0.096393,0.007238,0.033097,0.00E+00,0.00E+00
,0.2,0.077094,0.323793,0.043845,0.186487,0.022313,0.096405,0.007131,0.032743,0.00E+00,0.00E+00
,0.3,0.078906,0.330007,0.043712,0.186041,0.021918,0.094905,0.007102,0.032507,0.00E+00,0.00E+00
,0.4,0.081586,0.337636,0.043923,0.18815,0.021849,0.095005,0.007235,0.032416,0.00E+00,0.00E+00
,0.5,0.084422,0.3422,0.04437,0.190018,0.021849,0.095368,0.007254,0.032562,0.00E+00,0.00E+00
,0.6,0.087793,0.345366,0.044966,0.192235,0.022025,0.096099,0.007218,0.032511,0.00E+00,0.00E+00
,0.7,0.091488,0.348244,0.045462,0.194379,0.022073,0.096371,0.007254,0.032535,0.00E+00,0.00E+00
,0.8,0.095673,0.350668,0.046227,0.197185,0.022174,0.09669,0.007189,0.033044,0.00E+00,0.00E+00
,0.9,0.099961,0.353453,0.04672,0.198628,0.022423,0.097755,0.00728,0.033501,0.00E+00,0.00E+00
,0.95,0.102677,0.356173,0.046862,0.199046,0.02242,0.097647,0.007254,0.033392,0.00E+00,0.00E+00
,0.99,0.104548,0.356764,0.047021,0.1989,0.02253,0.098406,0.007299,0.033621,0.00E+00,0.00E+00
,0.991,0.10458,0.356654,0.047093,0.199156,0.022517,0.098339,0.007329,0.033732,0.00E+00,0.00E+00
,0.995,0.10471,0.356713,0.04708,0.199023,0.022556,0.098508,0.007303,0.033618,0.00E+00,0.00E+00
,0.9999,0.104946,0.35683,0.047131,0.199237,0.022592,0.098664,0.007306,0.03363,0.00E+00,0.00E+00
,1,0.104943,0.356799,0.047138,0.199232,0.022592,0.098664,0.007299,0.033597,0.00E+00,0.00E+00
,offline,0.0569622715,0.2391885,0.0277518475,0.11640741,0.0111597303,0.04587175,0.0020387657,0.007785001,0,0
