traceZipf0.99-hint-expcost.datPrecision = 8,,,,,,,,,,,
,,CacheSize: 0.2,,CacheSize: 0.4,,CacheSize: 0.6,,CacheSize: 0.8,,CacheSize: 1.0,
,InsertionProb,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss
,0.001,0.28924,0.288649,0.157934,0.152711,0.070004,0.067932,0.02572,0.025215,3.44E-06,9.82E-06
,0.005,0.182359,0.176597,0.112469,0.107841,0.062612,0.060214,0.025717,0.024946,3.44E-06,9.82E-06
,0.01,0.161088,0.154206,0.106892,0.100455,0.061378,0.058762,0.025738,0.024737,3.44E-06,9.82E-06
,0.02,0.153621,0.13849,0.103177,0.094017,0.061516,0.056785,0.025693,0.023899,3.44E-06,9.82E-06
,0.05,0.205956,0.119013,0.100627,0.081806,0.061492,0.052025,0.025487,0.022206,3.44E-06,9.82E-06
,0.1,0.260475,0.101996,0.116747,0.069935,0.061186,0.043903,0.0257,0.018977,3.44E-06,9.82E-06
,0.2,0.322493,0.086384,0.145502,0.051544,0.06132,0.031641,0.025765,0.01401,3.44E-06,9.82E-06
,0.3,0.340324,0.081438,0.162992,0.03773,0.079068,0.023128,0.025851,0.009475,3.44E-06,9.82E-06
,0.4,0.355265,0.081044,0.184245,0.02867,0.075969,0.016814,0.025559,0.007332,3.44E-06,9.82E-06
,0.5,0.361745,0.079474,0.205361,0.021457,0.086429,0.013076,0.025782,0.005181,3.44E-06,9.82E-06
,0.6,0.370948,0.077936,0.224085,0.01729,0.091044,0.009177,0.025676,0.003923,3.44E-06,9.82E-06
,0.7,0.374446,0.077772,0.239205,0.012987,0.090896,0.00698,0.025834,0.002685,3.44E-06,9.82E-06
,0.8,0.379246,0.07705,0.248363,0.009608,0.092679,0.004403,0.025782,0.001474,3.44E-06,9.82E-06
,0.9,0.380556,0.076487,0.260527,0.007,0.102813,0.002759,0.025683,8.01E-04,3.44E-06,9.82E-06
,0.95,0.382047,0.077096,0.26497,0.006113,0.105376,0.002013,0.025641,3.24E-04,3.44E-06,9.82E-06
,0.99,0.382916,0.077018,0.267444,0.005267,0.102923,0.001444,0.025628,8.27E-05,3.44E-06,9.82E-06
,0.991,0.383081,0.076783,0.267417,0.00529,0.103098,0.001482,0.025707,7.33E-05,3.44E-06,9.82E-06
,0.995,0.382951,0.076937,0.268307,0.005157,0.103187,0.001419,0.025665,2.17E-05,3.44E-06,9.82E-06
,0.9999,0.382968,0.076896,0.268547,0.005084,0.103926,0.001351,0.025662,1.07E-05,3.44E-06,9.82E-06
,1,0.382971,0.076886,0.268692,0.005083,0.103926,0.001351,0.025665,1.07E-05,3.44E-06,9.82E-06
,offline,0.3738548661,0.04865327,0.3517906355,0.0049225576,0.3043530552,5.91E-04,0.025311497,8.37E-07,0,0
